gene_id,symbol,entrezid,gene_biotype,Biological Group,,,,,,,,,,,,,,,,,,,,
,,,,LT-HSC,,,LSK,,,PROG,,,CMP,,,GMP,,,MEP,,,LIN,,
ENSMUSG00000028007,Snx7,76561,protein_coding,0,0,0,4.51573,0,0,0,0,0,0,3.70649,0,0,0,0,0,5.05637,0,0,0,7
ENSMUSG00000028008,Asic5,58170,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028010,Gar1,68147,protein_coding,155.463,93.98581,217.004,134.39533,165.76499,109.601,64.48195,70.3121,426.49566,151.102,101.668,76.7549,83.1366,70.84741,260.2375,177.941,185.27537,455.331,43.2208,42.8362,48.46592
ENSMUSG00000028011,Tdo2,56720,protein_coding,0,1,1.999997,0,0,0,0,1,1.194833,1,3,0,0,0,1,0,0,6,5.72745,0,0
ENSMUSG00000028012,Rrh,20132,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028013,Ppa2,74776,protein_coding,2.42396,14.89193,21.42163,20.90133,25.17355,14.12107,3.53828,1.60296,29.8728,0,0,7.12684,0,7.30286,36.7642,6.33051,10.77427,14.83233,3.89252,30.2852,11.06259
ENSMUSG00000028015,Ctso,229445,protein_coding,74,35,107,152.0002,144.99984,101,5,20,43.0115,6,24,31,4,24,0,8,34.0209,51.99998,76.05447,41.00004,64.0244
ENSMUSG00000028016,Ints12,71793,protein_coding,92,95,54.00002,40.14913,84.99998,68,28,133.99959,102.99996,9,28,79,16.0000469,29.99999,3,5,95,122,105,203,154.00004
ENSMUSG00000028017,Egf,13645,protein_coding,0,0,0,0,0,2.94416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028018,Gstcd,67553,protein_coding,0,4.44759,0,2.03753,1,1.73876,0,1.08569,2.01364,0,0,7.14666,0,0.942305,11.2033,0,0,0,0,0,3.50925
ENSMUSG00000028019,Pdgfc,,protein_coding,8.83221,0,14.8415,9.05064,4.00402,5.00246,0,0,17.7747,0,1.6704,0,0,0,0,1.00057,0,3.00056,37.8679,36.7644,37.1281
ENSMUSG00000028020,Glrb,14658,protein_coding,1.53468,9.90806,13.2163,36.8145,2.06592,0,0,38.2448,25.6197,2.47342,15.0344,1.64461,0,0.690931,41.2381,0,13.6238,1,123.943,22.7314,15.5049
ENSMUSG00000028023,Pitx2,18741,protein_coding,0.0964489,0,0,2,2.26853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000028024,Enpep,13809,protein_coding,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028028,Alpk1,71481,protein_coding,12.7255,8.61536,2.602268,2.09576,3.13136,11.00042,3.00119,14.66987,18.2793,0,8.1561,2.05773,1,0.533051,0,0,6.00937,9.41154,15.586193,15.5213,6.01673
ENSMUSG00000028030,Tbck,271981,protein_coding,36.2579,67.4385,50.86844,113.976,110.481,60.1635,2.12969,57.445,136.293,7.83937,50.2405,24.6373,2.27853,35.0818,5.24826,4.33987,60.4147,51.8367,118.516,118.344,140.492
ENSMUSG00000028031,Dkk2,56811,protein_coding,1.00025,0,4.00993,1.27874,1.09434,1.20906,0,0,1.05446,0,1.0008,0,0,0,0,0,1.00394,2.27758,0,1.02073,6.71054
ENSMUSG00000028033,Kcnq5,226922,protein_coding,6,1.00226,2,8,0,1,0,8.02597,8,0.719724,1,0,0,0,0,0,2,2.00687,18.0551,4.00741,4
ENSMUSG00000028034,Fubp1,51886,protein_coding,42.9796,35.28251,195.18678,144.4772,89.8733,33.4833,15.829289,58.93197,232.6339,8.24665,29.45943,20.1908,3.35372,6.11598,0,12.0353,43.7614,96.0339,79.53216,117.5688,116.136
ENSMUSG00000028035,Dnajb4,,protein_coding,2.64741,3.75274,51.1999,45.8429,45,7.74232,5.82255,12.2949,78.2537,0,12.9759,3.5799,2.749862,16.641,0,1.14296,1.21E-06,0,0,22.4011,0
ENSMUSG00000028036,Ptgfr,19220,protein_coding,0,0,2,0,0,0,0,2.10569,0,0,0,0,0,0,0,0,0,0,3.012159,5.0218,5.02061
ENSMUSG00000028037,Ifi44,99899,protein_coding,15.01038,12.079,37.07978,117.8686,154.01762,74.07356,0,9.034657,3.01834,1.02883,15.0964,14.0244,0,7.09195,0,0,12.0812,44.14902,16.84898,31.249,4.0077
ENSMUSG00000028039,Efna3,13638,protein_coding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028040,Efna4,13639,protein_coding,8,1,20,20,20,40,5,0,5,8,3,23,1,1,0,1,1,8,1,0,3
ENSMUSG00000028041,Adam15,11490,protein_coding,189.86852,120.5557,186.99998,113.26483,99.81695,155.1248,49.9749,163.85917,237.96209,54.46,76.92824,148.09845,69.5971,41.88584,245.65844,6.000004,23.17615,17.00707,221.52843,314.2499,323.57709
ENSMUSG00000028042,Zbtb7b,,protein_coding,173.99964,210.00015,392.9998,59.999972,43.00001,32.00001,87.00002,569.9998,439.0003,12.000026,44.00005,36,17.99997798,43.99997,144.00046,8.999999,67.99996,30.000016,437.00048,716.99994,825.99951
ENSMUSG00000028044,Cks1b,102640775;54124,protein_coding,1130.0049,4914.9976,2013,2246.9949,6135.9991,1705.9955,840.0004,1478.99508,2306.999,1734.99539,4777.9971,1701.9959,1599.00152,4872.9987,2763,1254,7010.9975,2359.0008,362.994,447.996,828.998
ENSMUSG00000028047,Thbs3,21827,protein_coding,1,1,0,0,0,0,0,0,2.88809,0,0,0,0,0,0,0,0,0,2,3,7
ENSMUSG00000028048,Gba,,protein_coding,20.1558,25.8278,0,6.97763,9.87256,0,0,0,7.5228,0,5.72084,26.5544,0,17.2927,0,0,7.24155,0,56.8213,9.91365,0
ENSMUSG00000028049,Scamp3,24045,protein_coding,199.0236,452.84658,172.25194,251.2844,578.74173,302.74007,82.98916,163.268,466.687117,85.7387,333.78169,381.97488,168.5,488.26493,1311.997,66.1627,742.82783,618.99715,231.9976,233.2738,245.548
ENSMUSG00000028051,Hcn3,15168,protein_coding,3,3,1,7.57282,6,5,0,1.48958,14.8366,1,8,6.79326,0,0,0,6.21025,11.26931,32.894,4.09151,2,0
ENSMUSG00000028053,Ash1l,,protein_coding,200,59,404,334.6,120,117.6433,54,250.0001,431,16,31,83,8,9,130,14,43.00000656,179,276.99962,261.00028,377
ENSMUSG00000028057,Rit1,19769,protein_coding,99.4537,78.10838,89.77238,27.9896,79.27372,51.43416,4.95557,37.48935,60.053,24.68565,15.76601,67.1472,10.50078,38.63198,1,2.76637,33.62586,40.67422,57.725,57.36804,91.396
ENSMUSG00000028059,Arhgef2,16800,protein_coding,375.24344,213.935399,657.6919401,716.027,448.89898,305.02414,143.46995,334.4263,642.47,122.59819,365.5129,138.2518,13.54409188,390.14134,943.87049,52.25939,420.59752,95.81981,298.2579002,212.90569,280.124
ENSMUSG00000028062,Lamtor2,83409,protein_coding,58.35481,100.96477,126.4212,39.78758,64.69823,81.63828,38.97517,83.77574,126.97408,36.47612,57.78899,22.7362,35.24785,62.34083,0,24.16707,58.2155,131.45965,52.50061,46.54066,74.28692
ENSMUSG00000028063,Lmna,16905,protein_coding,88.70145,32.68735,39.7466,31.377343,15.10806,9,29.99859,79.55654,215.0374,14,6.34505,28.20565,0,1,2,445.79914,1382.71889,742.31062,53.11215,44.779461,96.45849699
ENSMUSG00000028064,Sema4a,,protein_coding,476.2574578,515.9246253,757,73.66856,72.00002,47,255.9998417,984.9652431,707.013,37,114.00008,129.9999346,75.99995707,125.1766211,35,11.258107,50.57238,125.942347,764.7379,879.7248,1221.38307
ENSMUSG00000028066,Pmf1,67037,protein_coding,76.408,133.2185,126.9423,34.3129,81.6531,113.93053,60.78337,112.5036,463.4382,17.8297,53.18883,74.4637,70.6158,73.2883,2.3522,131.3673,161.2721,144.9441,180.0271,195.3982,282.8184
ENSMUSG00000028068,Iqgap3,404710,protein_coding,150.71761,189.51854,277.57336,164.682,134.89986,115.60972,61.52114,341.81321,453.98553,33.3862,103.97059,124.029701,21.63883,139.93037,535.22772,23.63737,191.59371,109.70861,165.16855,141.8597,178.37877
ENSMUSG00000028069,Gpatch4,,protein_coding,23.21243,97.60865,34.284,31.11677,103.26173,20.14605,0,6.30263,35.45084,0,24.70937,26.9274,16.5745,19.47498,0,0,61.04272,84.6346,3.68851,12.56339,0
ENSMUSG00000028070,Apoa1bp,246703,protein_coding,472,2261,905,1105,2016,1240,215,444,575,322,912,742,673,1250,1095,275,1257,980,167,283,380
ENSMUSG00000028071,Sh2d2a,27371,protein_coding,40.0077,9.03602,25.1572,16.28826,18.02946,23.00547,6.00224,2.035699,29.0675,2,7.43695,7.83375,0,0,0,10.00226,80.4395,116.78231,23.44706,12.15217,22.19832
ENSMUSG00000028072,Ntrk1,18211,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028073,Pear1,,protein_coding,109.80062,22,332.70977,446.78518,160.7736423,232.00019,11,10.0000046,32,19.00001,13,42.00001,3,1,1,14,11.467504,34.00001,18.99999,15,21
ENSMUSG00000028076,Cd1d1,12479,protein_coding,12.67477,87.23614,17.0158,121.4461,304.18854,212.9106,13.361,20.4158,10.2364,17.875375,86.4603,97.9046,24.00976,53.48886,1,3.34288,63.13886,23.0131,0,0,10.2145
ENSMUSG00000028078,Dclk2,70762,protein_coding,1,4,35,20.717,19.99998,0,1,8,26,0,3,3,0,0,0,11,23.99996,43,15,10,14
ENSMUSG00000028080,Lrba,80877,protein_coding,19.00456,21.13649,63.36617,102.06211,19,26,3.4178,49.2243,109.3588,4,11.95436,15,2.00316,5,41,2,8,72.18502,52.9117,40.05186,41.19549
ENSMUSG00000028081,Rps3a1,20091,protein_coding,6244.5,13174.5,9735.18,21349.5,24473.6,15101.8,3333.73,5476.85,14345,11174.7,14583.6,10726,7272.03,11026.5,7908.91,14146.9,20419.5,24257.5,2417.7,3688.3,4219.66
ENSMUSG00000028082,Sh3d19,,protein_coding,7,11.39743,29,12,16,14,1,4,43.7227,2,6,10.98129,6.999995995,9,0,1,14,39.99997,11,11,22
ENSMUSG00000028085,Gatb,229487,protein_coding,76.99996,108.0000179,123.00003,104,113.99998,107.3166958,16.000004,43,101,13.99998,53.000012,77.000068,25.99996,60.00001,128.0003,25.99999,99.99999,157.99976,15.99999,19.00005,38.0111
ENSMUSG00000028086,Fbxw7,50754,protein_coding,79.00001,37.00002,213.99972,117.0001,57.0001,81.99993,11,76.99998081,142,12,21.99996,51.99998,2,5,10,14.99999,32.00007994,139,110.00004,110.0001,199.9999
ENSMUSG00000028088,Fmo5,14263,protein_coding,87.25217,77.15418,163.0422,47.8339,40.0539,28.22645,36.1552,263.32152,144.6269,0,7.00658,11.01491,3.00262,20.02831,0,2.82435,5.4604,23.00866,228.06778,285.75077,335.56163
ENSMUSG00000028089,Chd1l,68058,protein_coding,92.8047,79,165.207,150.943,101,133.042,30,121.857,180.793,15,39,53,24,31,0,37,107.81,270,48,69,84
ENSMUSG00000028093,Acp6,66659,protein_coding,132.53366,212.34623,180.48778,163.6572,243.96234,255.64597,35.8813,72.44066,102.19438,35.60853,86.52805,171.89783,88.8505,125.00791,0,38.1555,190.7203,190.65271,40.5763,34.48105,55.67599
ENSMUSG00000028096,Gpr89,67549,protein_coding,0,10.63796,0.0147833,0,8.06422,20.03522,11.54768,5.93075,0,0,0.465246,5.112972,3.21361,16.36109,265.863,7.42038,20.99205,18.8998,37.6902,2.77126,0
ENSMUSG00000028099,Polr3c,,protein_coding,196.5832191,194.81527,243.873784,272.92323,294.19664,206.07024,66.8548845,204.019247,436.6615274,23.0032,154.74613,145.0000801,32,70,19.41504844,37.64155,189.0904,326.5095229,254.84765,311.3588006,328.0341666
ENSMUSG00000028100,Nudt17,78373,protein_coding,9,3,9,0,5,1.36663,1,4,6.53434,0,0,0,0,0,0,0,0,6,0,1.01484,0
ENSMUSG00000028101,Pias3,229615,protein_coding,0.0855378,29.93647,37.5114,103.99972,81,29.25280007,9.39565,79.02738,90.94274,1,43.99997,33.00003,9,12.0000003,109,10,36.00001,0,53.8156,49.82506,193.25234
ENSMUSG00000028102,Pex11b,18632,protein_coding,101.63443,178.74122,359.0041,201.99963,351.06823,279.47112,39.8953,99,193.86561,27.5616368,105.09645,173.9395,38.11883,150.7603,8,47,218.62247,270.7202,90.76974,61.91336,125.00049
ENSMUSG00000028104,Polr3gl,69870,protein_coding,86.55906,146.96206,184.2107,270.86169,229.89875,162.3818,24.69598,127.30303,205.32588,15.50122,107.17015,93.5883,21.13618,83.40838,78.2696,18.49644,164.6963813,108.41305,135.32584,138.439,133.57305
ENSMUSG00000028106,Rprd2,75137,protein_coding,54.3447,36.0075,57.702,0,0.668502,58.404,0,65.8876,69.4852,10,0,0,0,0,0,0,0,8.49455,85.944,104.46,0
ENSMUSG00000028107,Tars2,71807,protein_coding,172.382,32.91683,114.927,117.82268,79.49864,174.32257,13.0152,92.64349,40.23074,20.1319,34.29209,153.58353,42.504,24.57515,0,89.8361,99.43235,331.60836,6.8531,6.37209,48.35544
ENSMUSG00000028108,Ecm1,13601,protein_coding,15.999992,0.884033,15.270713,16.332601,3.7974975,13.34542,1.610852,19.99997,18.706298,4.999999,1.06123,0.633835,2.999997,2,0,0,0.553955,9.425513,7.5129623,24.178934,22.2932434
ENSMUSG00000028109,Hormad1,67981,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028111,Ctsk,13038,protein_coding,75,3,28,0,3,0,0,3,1,1,0,0,0,0,0,0,0,4,50,23,34
ENSMUSG00000028114,Mettl14,210529,protein_coding,0,0,0,0,0,0,0,3.03662,1.33981,0,1.39677,1.45874,0,0,0,0,0,0,0,0,0
ENSMUSG00000028115,Bnipl,171388,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
ENSMUSG00000028116,Myoz2,59006,protein_coding,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
ENSMUSG00000028121,Bcar3,29815,protein_coding,14.7306,4.87723,5.63351,0,1,0,1,28.7755,9,0,0,0,0,1.38963,0,0,0,7,18.8475,23,30
ENSMUSG00000028124,Gclm,14630,protein_coding,122.59729,31.2048,144.7809,69.8783,353.14206,141.32137,77.582193,189.46176,178.627,52.15599,12.478003,112.61749,55.42574,1.26116,2.08011,260.9731,1879.5719,693.31988,69.62214,137.68846,188.20117
ENSMUSG00000028125,Abca4,11304,protein_coding,14.24054,4.06042,16.01821,14.373823,11.004806,18,1,0,2.81873,0,4.931167,3,0,3,0,0,3,6.11113,3,1,2.09858
ENSMUSG00000028126,Pip5k1a,18720,protein_coding,112.99999,79.99999,286.9998,187.000246,157.00001,187.9999,38,151.00048,225.0001301,22,59.99999,104.0000342,18.00004904,42.0000093,444.9998078,29.00004,123,305.00041,127.999763,146.0002004,169
ENSMUSG00000028127,Abcd3,19299,protein_coding,40.9022,19.6967,0,0,29.4601,0,9.89978,9.99815,10.0131,0,0,9.91826,0,23,0,0.582651,9.8692,0,0,10.0967,0
ENSMUSG00000028132,Tmem56,,protein_coding,0,3,0,1.82047,0,0,0.904728,0,0,1,1,0,0,2,0,12.9253,132.9999,15.47288,0.0375915,1.52478,0
ENSMUSG00000028133,Rwdd3,66568,protein_coding,7.355300715,6,19.999968,41.06827,8.323553,10.78201,0,2,4,5,0,6,1,3,0,0.346274634,4.817203574,17.2567,6,1.999996,4
ENSMUSG00000028136,Snx27,76742,protein_coding,0,1.80724,3.61276,0,1.84567,0,0,1.80297,1.44493,0,0,0,0,2.14328,0,1.86202,4.77978,3.52481,0,0,0
ENSMUSG00000028137,Celf3,78784,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028138,Adh5,11532,protein_coding,518.04671,1181.2982,682.9577,1078.798,2340.0353,1091.05404,153.12226,352.6791,649.425,315,775.6647,796.408,305.732,928.7353,587.3875,242.08043,1633.0175,1196,198.6692,286.2279,290.7125
ENSMUSG00000028139,Riiad1,66353,protein_coding,0,0,7.04153,14.9445,3.02718,2.00612,0,8.1773,25.1275,1.01736,7.13398,0,0,0,0,0,2.01746,1,20.184,17.49117,24.552799
ENSMUSG00000028141,Oaz3,53814,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028145,Them4,75778,protein_coding,7,8,1.0679,26.6528,17.9535,21.5497,4,5,14,1,4,8,3,7,0,4,18,43.8549,4,3.33456,7
ENSMUSG00000028149,Rap1gds1,229877,protein_coding,81.4941,59.2391,98.3537,62.9171,1.99E-08,1.42E-08,0,12.9182,77.1509,0,48.8566,0,12,0,0,0,6.33E-08,0,79.0142,99.7796,0
ENSMUSG00000028150,Rorc,19885,protein_coding,0,0,11,2,4,5,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000028152,Tspan5,56224,protein_coding,117.00034,109.00004,185.9995,115.00012,137.99963,114.99958,71,209.99987,232.0005,23,55.00002,83.00002,38.999991,77.00001,152,9.0000027,16.999993,51.00003,128.00032,182.9999,224.00004
ENSMUSG00000028158,Mttp,17777,protein_coding,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.07417,0,0,0,0
ENSMUSG00000028159,Dapp1,26377,protein_coding,141.766,41.095,608.84,574.4142,1.297800705,138.7383901,11.0034,1.21827389,518.151,27.3873,36.55723133,75.0052,7.96696,36.3903,3.37246,13.3524,35.0459,102.1697,199.95,205.149,235.934
ENSMUSG00000028161,Ppp3ca,19055,protein_coding,168.656,96.816,208.06298,226.891,92.9949,130.17468,41.28966,340.81059,519.5976,13.1009,47.8936,42.23300001,11.05169,33.0864,163.101,0.40309,44.136,120.645,462.9826,601.6266,538.8643
ENSMUSG00000028163,Nfkb1,18033,protein_coding,576,426.642,489.0001,754.0009,787.86541,620.2897721,130.9999,376.99983,611.00005,190.00036,497.00024,570.99997,122.00002,167.9333,28.99996,69.00001,313.93932,467.9226,354.9998,453.9997,573.99972
ENSMUSG00000028164,Manba,110173,protein_coding,80.05214,52.93055,125.74311,105.00894,54.02035,82,11.00021,51.02657,144.23855,15.776192,53.72122,71.00004,11.00016,26.99996,160.99959,6,15.12631,62.32805,68.44298,91.55778,131.65093
ENSMUSG00000028165,Cisd2,67006,protein_coding,144.9868,189.0004,336.9998,254.9825,313.9932,169.0004,46.9545,257.9886,412.9767,36.9835,145.98672,144.9997,44,158.9999,22,55.00004,307.9795,403,139.0001,227.0003,244.0005
ENSMUSG00000028167,Bdh2,69772,protein_coding,22,2,35,16.88098,34,36,0,0,0,1,1,6,0,0,0,0,0,1,1,1,1
ENSMUSG00000028172,Tacr3,21338,protein_coding,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000028173,Wls,68151,protein_coding,25.5952,54.9629,106.103,98.0066,79.6179,64.204,15.4985,152.841,254.462,6.13078,73.9867,34.5408,0,36.3137,192.101,6.09044,0,37.6582,79.8938,141.165,133.933
ENSMUSG00000028174,Rpe65,19892,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028175,Depdc1a,76131,protein_coding,14,25,52,27.999989,20.99996,13.00004,4.999997,64,104.99972,2,14.99999,8,0,10,149,6,21,36.00005,49,58,69
ENSMUSG00000028176,Lrrc7,242274,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028179,Cth,107869,protein_coding,1,1,0,1,0,0,0,2,6.000001,1,0,3,0,2,0,2,2,2,4,2,2
ENSMUSG00000028180,Zranb2,53861,protein_coding,303.43034,165.25008,489.9875,542.1627331,333.67257,350.88186,78.27124,295.93889,657.33506,91.64152,158.78524,202.99016,48.00005,98.11941,13.937777,178.34412,409.67205,1085.8986,204.9145,303.62517,366.3936
ENSMUSG00000028182,Lrriq3,74435,protein_coding,0,0,0,4.000001377,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0
ENSMUSG00000028184,Lphn2,99633,protein_coding,23,5.40463,74.00007,27,12.54455,16,2,7,45.463,4,11.4809,4.03887,0,1.00007,0,3,0,48.65845,9.81807,11,9
ENSMUSG00000028185,Dnase2b,56629,protein_coding,2,5,11,2,0,0,0,1,0,0,0,2,0,0,0,0,1,2,9,0,0
ENSMUSG00000028186,Uox,22262,protein_coding,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000028188,Spata1,70951,protein_coding,4.20014,8.33773,17.3886,37.3941,9.4981,1.01128,5.5502,59.929008,55.5252,1.05145,4.17814,0,0,1.48269,0,1,12.0339,2.534709,73.81482,50.76109,20.45454
ENSMUSG00000028189,Ctbs,74245,protein_coding,0,0,0,0,0,0,0,18.1035,0,0,0,0,3,0,0,0,0,0,27.8604,0,0
ENSMUSG00000028191,Bcl10,12042,protein_coding,151.626,107.796,138,119.931,161.96,127.847,41,116.732,126,18,83,87,28,56,1,13,68,89,172,193,360
ENSMUSG00000028194,Ddah1,69219,protein_coding,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4.000001,0,0,0
ENSMUSG00000028195,Cyr61,16007,protein_coding,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0
ENSMUSG00000028197,Col24a1,71355,protein_coding,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,2,0
ENSMUSG00000028199,Cryz,12972,protein_coding,18.002,19.0659,41.187,23.2947,25.6219,17.75724,2.759404,9.07985,25.9503,3.531787,16.4168,13.5621,2,5.09337,1,6.97762,19.890496,23.2445,9.99873,2,8.28932
ENSMUSG00000028207,Asph,65973,protein_coding,68.7043,24.84684,134.0345,61.4708,34.00003501,47.05234,10.03617,54.66554,135.33234,6.01516,15,19.01601,1,7.000002,6,16.0132574,101.12557,160.56382,50.02815,49.6661,49.67077
ENSMUSG00000028211,Trp53inp1,60599,protein_coding,34.0000425,8.9999962,73.999955,110.000441,71.000019,40,2.99999926,55.999965,59.0000104,2.000004,3.00000305,1.9999966,0,0,0.99999977,15.0000072,22.999989,69,320.00018,300.000352,540
ENSMUSG00000028212,Ccne2,12448,protein_coding,17.02368,57.6994,78.51153,34.8957,58.1439,9.97234,6.56957,46.08732,116.89139,6,28.2093,0,1,58.1578,0,20.587105,245.32983,95.97354,13.8723,55.62097,50.8623
ENSMUSG00000028214,Gem,14579,protein_coding,10,2.999995524,7.00000153,72,33,32,4.0000035,7.99999811,14,0,3.00000218,2.00000405,0,0,0,4.99999732,12,15,2.99999982,1.99999719,9.99999624
ENSMUSG00000028217,Cdh17,12557,protein_coding,2.10024,0,7,11,1,2,2,6,14,0,0,2.09912,0,0,0,0,2,8,12,3,1
ENSMUSG00000028218,Fam92a,68099,protein_coding,78.00214,61.97654,82.3722,117.65558,167.26747,136.18647,14,45.27403,59.4255,21.99996,55.70100004,97.75820933,19,37.305133,0,14.7211177,89.48955,151.81409,10.139663,17.41895,33.18497
ENSMUSG00000028221,Tmem55a,72519,protein_coding,41,40,119,76,64,62,21,68,140,3,33,47,13,37,74,7,60,111,26,61,59
ENSMUSG00000028222,Calb1,12307,protein_coding,0.000528347,5.08808,7.36403,16.9514,4.78416,0,0,16.3941,47.2449,0,5.15938,1.83221,0.949289,1.30907,23.7104,0,6.51155,1.02146,44.501,40.3174,24.2322
ENSMUSG00000028223,Decr1,67460,protein_coding,117,178,211.99979,261,290,249,18,93,205,32,122,151,49,141,49,57,279,391,47.3986,72,58
ENSMUSG00000028224,Nbn,27354,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,2.99576,0,0,0,0,0,0,0,0
ENSMUSG00000028226,Mmp16,17389,protein_coding,0.425723,1.0162,6.09802,6.46075,4.11379,0,0,0,2.13983,2.009934,2.16798,1,0,0,2.00544,0,1.00811,1.01212,16.01426,3.09912,4.18712
ENSMUSG00000028228,Cpne3,70568,protein_coding,359.904,346.343,438.4153,327.802,208.43,136.397,145.1424,1563,919.71109,17.126,76.167,65.1682,8.03408,38.4086,194.86,3.00787,16.1324,61.9097,1032.94,1672.08303,1490.99441
ENSMUSG00000028229,Rmdn1,66302,protein_coding,99.379,109.3176,144.1283,119.591,79.4186,77.055,22.34838,124.9517,195.7021,7.82948,45.0833,55.5512,13.07473,29.5179,8.88119,14.92032,58.3053,83.3925,142.6079,165.3535,174.4607
ENSMUSG00000028232,Tmem68,72098,protein_coding,4.58494,4.33537,0,4.92092,4.48249,0,0,0,0.101987,0,0,2.81944,0.667768,0,0,1.13361,0,1.89125,3.28571,2.6674,0
ENSMUSG00000028233,Tgs1,116940,protein_coding,223.9999,144,385,402.99999,360,252.99959,37.000001,210.97454,413.00016,57.00003,144.00022,178.00005,19.000005,48,200.0002,50.00004,163,593,138.9719,169.98415,212
ENSMUSG00000028234,Rps20,67427,protein_coding,2515.3658,5712.0174,4804.1067,10019.863,8782.5291,6005.2513,1190.774,4238.225,15635.66,5274.1346,7442.3021,3235.0947,2537.9224,4468.95,5991.78,7994.9307,6969.7983,11298.4,3353.443,6727.566,4128.989
ENSMUSG00000028236,Sdr16c5,242285,protein_coding,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000028238,Atp6v0d2,242341,protein_coding,7.47002,0,0,1,0,0,0,1.02731,0,0,0,1.07692,0,0,0,0,0,0,8.86091,2.13698,3.10258
ENSMUSG00000028240,Cyp7a1,13122,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3.0368,1
ENSMUSG00000028243,Ubxn2b,68053,protein_coding,22.0052,41.4649,109.778,101.921,111.156,38.291,10.0031,58.2945,172.803,16.0151,36.0427,27.4289,9.00112,26.0637,3.14636,31.0073,224.026,210.004,68.9278,54.0311,76.5714
ENSMUSG00000028245,Nsmaf,18201,protein_coding,50.6057,35.81997,139.42425,115.04825,65.89476,61.43199,12.434958,60.09,92.74757,4.96691,28.02265,78.23642,9.75063,10.881,127.22822,13.32431,58.30157,142.7503,28.53139,12.8295,61.5899
ENSMUSG00000028246,Faxc,76132,protein_coding,3,0,0,1,0,0,0,1.16971,0,0,0,0,1,0,0,0,0,0,5.47551,3.00211,0
ENSMUSG00000028247,Coq3,230027,protein_coding,78,92,63,48.6745,76,59,4,36.5541,46,10,38,27,6,53,257,20,136,190.99954,20.00002,11,28
ENSMUSG00000028248,Pnisr,66625,protein_coding,115.3022537,56.13777,253.33724,283.29543,76.164272,56.86157,50.321543,158.861,332.76435,16.713495,21.6378,25.31399,7.726684,8.641654,254,37,24.95799,93.65729,230.562324,236.33862,245.23814
ENSMUSG00000028249,Sdcbp,53378,protein_coding,1.0217,8.45503,10.4907,20.7607,25.53154,3.75186,6.25583,25.7664,52.27106,1.05142,5.97784,8.37116,27.79734,48.5766,1.00844,0,8.7897,11.31529,39.44502,40.89,44.63337
ENSMUSG00000028251,Tstd3,77032,protein_coding,20.2629,37.0063,38.3737,45.0795,29.6827,14.1245,9.56602,61.1243,128.878,14.1237,39.7079,11.1335,4.0783,27.7384,2.06981,15.7147,216.058,118.452,81.8221,76.7926,119.126
ENSMUSG00000028252,Ccnc,51813,protein_coding,18.27138,37.42081,35.44504,72.97581,54.72458,23.25323,7,45.40721002,76.68861,6.323327,18.65471243,12.82754,6,36.63802,6.58568,6.633833,61.9022,52.01895,53.205974,65.69545,40.15977
ENSMUSG00000028255,Clca3,23844,protein_coding,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
